ICD10code,list_disease_real,disease_duration
J43.8,COPD,9999999
J43.9,COPD,9999999
J43,COPD,9999999
J44.0,COPD,9999999
J44.1,COPD,9999999
J44.2,COPD,9999999
J44.3,COPD,9999999
J44.4,COPD,9999999
J44.5,COPD,9999999
J44.6,COPD,9999999
J44.7,COPD,9999999
J44.8,COPD,9999999
J44.9,COPD,9999999
J44,COPD,9999999
N16.5,Chronic kidney disease,9999999
N18.5,Chronic kidney disease,9999999
T82.4,Chronic kidney disease,9999999
T86.1,Chronic kidney disease,9999999
Y60.2,Chronic kidney disease,9999999
Y61.2,Chronic kidney disease,9999999
Y84.1,Chronic kidney disease,9999999
Z49.1,Chronic kidney disease,9999999
Z49.2,Chronic kidney disease,9999999
Z94.0,Chronic kidney disease,9999999
Z99.2,Chronic kidney disease,9999999
I42.0,Coronary heart disease,9999999
I42.6,Coronary heart disease,9999999
I21.0,Coronary heart disease,9999999
I21.1,Coronary heart disease,9999999
I21.2,Coronary heart disease,9999999
I21.3,Coronary heart disease,9999999
I21.4,Coronary heart disease,9999999
I21.5,Coronary heart disease,9999999
I21.6,Coronary heart disease,9999999
I21.7,Coronary heart disease,9999999
I21.8,Coronary heart disease,9999999
I21.9,Coronary heart disease,9999999
I21,Coronary heart disease,9999999
I22.0,Coronary heart disease,9999999
I22.1,Coronary heart disease,9999999
I22.2,Coronary heart disease,9999999
I22.3,Coronary heart disease,9999999
I22.4,Coronary heart disease,9999999
I22.5,Coronary heart disease,9999999
I22.6,Coronary heart disease,9999999
I22.7,Coronary heart disease,9999999
I22.8,Coronary heart disease,9999999
I22.9,Coronary heart disease,9999999
I22,Coronary heart disease,9999999
I23.0,Coronary heart disease,9999999
I23.1,Coronary heart disease,9999999
I23.2,Coronary heart disease,9999999
I23.3,Coronary heart disease,9999999
I23.4,Coronary heart disease,9999999
I23.5,Coronary heart disease,9999999
I23.6,Coronary heart disease,9999999
I23.7,Coronary heart disease,9999999
I23.8,Coronary heart disease,9999999
I23.9,Coronary heart disease,9999999
I23,Coronary heart disease,9999999
I241,Coronary heart disease,9999999
I252,Coronary heart disease,9999999
I20.1,Coronary heart disease,9999999
I20.8,Coronary heart disease,9999999
I20.9,Coronary heart disease,9999999
I20.0,Coronary heart disease,9999999
F00.0,Dementia,9999999
F00.1,Dementia,9999999
F00.2,Dementia,9999999
F00.3,Dementia,9999999
F00.4,Dementia,9999999
F00.5,Dementia,9999999
F00.6,Dementia,9999999
F00.7,Dementia,9999999
F00.8,Dementia,9999999
F00.9,Dementia,9999999
F00,Dementia,9999999
F01.0,Dementia,9999999
F01.1,Dementia,9999999
F01.2,Dementia,9999999
F01.3,Dementia,9999999
F01.4,Dementia,9999999
F01.5,Dementia,9999999
F01.6,Dementia,9999999
F01.7,Dementia,9999999
F01.8,Dementia,9999999
F01.9,Dementia,9999999
F01,Dementia,9999999
F03.0,Dementia,9999999
F03.1,Dementia,9999999
F03.2,Dementia,9999999
F03.3,Dementia,9999999
F03.4,Dementia,9999999
F03.5,Dementia,9999999
F03.6,Dementia,9999999
F03.7,Dementia,9999999
F03.8,Dementia,9999999
F03.9,Dementia,9999999
F03,Dementia,9999999
F05.1,Dementia,9999999
G30.0,Dementia,9999999
G30.1,Dementia,9999999
G30.2,Dementia,9999999
G30.3,Dementia,9999999
G30.4,Dementia,9999999
G30.5,Dementia,9999999
G30.6,Dementia,9999999
G30.7,Dementia,9999999
G30.8,Dementia,9999999
G30.9,Dementia,9999999
G30,Dementia,9999999
F32.0,Depression,365
F32.1,Depression,365
F32.2,Depression,365
F32.3,Depression,365
F32.4,Depression,365
F32.5,Depression,365
F32.6,Depression,365
F32.7,Depression,365
F32.8,Depression,365
F32.9,Depression,365
F32,Depression,365
F33.0,Depression,365
F33.1,Depression,365
F33.2,Depression,365
F33.3,Depression,365
F33.4,Depression,365
F33.5,Depression,365
F33.6,Depression,365
F33.7,Depression,365
F33.8,Depression,365
F33.9,Depression,365
F33,Depression,365
E10.0,Diabetes excl Type 2,9999999
E10.1,Diabetes excl Type 2,9999999
E10.2,Diabetes excl Type 2,9999999
E10.3,Diabetes excl Type 2,9999999
E10.4,Diabetes excl Type 2,9999999
E10.5,Diabetes excl Type 2,9999999
E10.6,Diabetes excl Type 2,9999999
E10.7,Diabetes excl Type 2,9999999
E10.8,Diabetes excl Type 2,9999999
E10.9,Diabetes excl Type 2,9999999
E10,Diabetes excl Type 2,9999999
E12.0,Diabetes excl Type 2,9999999
E12.1,Diabetes excl Type 2,9999999
E12.2,Diabetes excl Type 2,9999999
E12.3,Diabetes excl Type 2,9999999
E12.4,Diabetes excl Type 2,9999999
E12.5,Diabetes excl Type 2,9999999
E12.6,Diabetes excl Type 2,9999999
E12.7,Diabetes excl Type 2,9999999
E12.8,Diabetes excl Type 2,9999999
E12.9,Diabetes excl Type 2,9999999
E12,Diabetes excl Type 2,9999999
E13.0,Diabetes excl Type 2,9999999
E13.1,Diabetes excl Type 2,9999999
E13.2,Diabetes excl Type 2,9999999
E13.3,Diabetes excl Type 2,9999999
E13.4,Diabetes excl Type 2,9999999
E13.5,Diabetes excl Type 2,9999999
E13.6,Diabetes excl Type 2,9999999
E13.7,Diabetes excl Type 2,9999999
E13.8,Diabetes excl Type 2,9999999
E13.9,Diabetes excl Type 2,9999999
E13,Diabetes excl Type 2,9999999
E14.0,Diabetes excl Type 2,9999999
E14.1,Diabetes excl Type 2,9999999
E14.2,Diabetes excl Type 2,9999999
E14.3,Diabetes excl Type 2,9999999
E14.4,Diabetes excl Type 2,9999999
E14.5,Diabetes excl Type 2,9999999
E14.6,Diabetes excl Type 2,9999999
E14.7,Diabetes excl Type 2,9999999
E14.8,Diabetes excl Type 2,9999999
E14.9,Diabetes excl Type 2,9999999
E14,Diabetes excl Type 2,9999999
G590,Diabetes excl Type 2,9999999
G632,Diabetes excl Type 2,9999999
H280,Diabetes excl Type 2,9999999
H360,Diabetes excl Type 2,9999999
M142,Diabetes excl Type 2,9999999
N083,Diabetes excl Type 2,9999999
O240,Diabetes excl Type 2,9999999
O241,Diabetes excl Type 2,9999999
O242,Diabetes excl Type 2,9999999
O243,Diabetes excl Type 2,9999999
E10.0,Diabetes,9999999
E10.1,Diabetes,9999999
E10.2,Diabetes,9999999
E10.3,Diabetes,9999999
E10.4,Diabetes,9999999
E10.5,Diabetes,9999999
E10.6,Diabetes,9999999
E10.7,Diabetes,9999999
E10.8,Diabetes,9999999
E10.9,Diabetes,9999999
E10,Diabetes,9999999
E12.0,Diabetes,9999999
E12.1,Diabetes,9999999
E12.2,Diabetes,9999999
E12.3,Diabetes,9999999
E12.4,Diabetes,9999999
E12.5,Diabetes,9999999
E12.6,Diabetes,9999999
E12.7,Diabetes,9999999
E12.8,Diabetes,9999999
E12.9,Diabetes,9999999
E12,Diabetes,9999999
E13.0,Diabetes,9999999
E13.1,Diabetes,9999999
E13.2,Diabetes,9999999
E13.3,Diabetes,9999999
E13.4,Diabetes,9999999
E13.5,Diabetes,9999999
E13.6,Diabetes,9999999
E13.7,Diabetes,9999999
E13.8,Diabetes,9999999
E13.9,Diabetes,9999999
E13,Diabetes,9999999
E14.0,Diabetes,9999999
E14.1,Diabetes,9999999
E14.2,Diabetes,9999999
E14.3,Diabetes,9999999
E14.4,Diabetes,9999999
E14.5,Diabetes,9999999
E14.6,Diabetes,9999999
E14.7,Diabetes,9999999
E14.8,Diabetes,9999999
E14.9,Diabetes,9999999
E14,Diabetes,9999999
G590,Diabetes,9999999
G632,Diabetes,9999999
H280,Diabetes,9999999
H360,Diabetes,9999999
M142,Diabetes,9999999
N083,Diabetes,9999999
O240,Diabetes,9999999
O241,Diabetes,9999999
O242,Diabetes,9999999
O243,Diabetes,9999999
E11.0,Diabetes,9999999
E11.1,Diabetes,9999999
E11.2,Diabetes,9999999
E11.3,Diabetes,9999999
E11.4,Diabetes,9999999
E11.5,Diabetes,9999999
E11.6,Diabetes,9999999
E11.7,Diabetes,9999999
E11.8,Diabetes,9999999
E11.9,Diabetes,9999999
E11,Diabetes,9999999
E11.0,Diabetes Type 2,9999999
E11.1,Diabetes Type 2,9999999
E11.2,Diabetes Type 2,9999999
E11.3,Diabetes Type 2,9999999
E11.4,Diabetes Type 2,9999999
E11.5,Diabetes Type 2,9999999
E11.6,Diabetes Type 2,9999999
E11.7,Diabetes Type 2,9999999
E11.8,Diabetes Type 2,9999999
E11.9,Diabetes Type 2,9999999
E11,Diabetes Type 2,9999999
G40.0,Epilepsy,9999999
G40.1,Epilepsy,9999999
G40.2,Epilepsy,9999999
G40.3,Epilepsy,9999999
G40.4,Epilepsy,9999999
G40.5,Epilepsy,9999999
G40.6,Epilepsy,9999999
G40.7,Epilepsy,9999999
G40.8,Epilepsy,9999999
G40.9,Epilepsy,9999999
G40,Epilepsy,9999999
G41.0,Epilepsy,9999999
G41.1,Epilepsy,9999999
G41.2,Epilepsy,9999999
G41.3,Epilepsy,9999999
G41.4,Epilepsy,9999999
G41.5,Epilepsy,9999999
G41.6,Epilepsy,9999999
G41.7,Epilepsy,9999999
G41.8,Epilepsy,9999999
G41.9,Epilepsy,9999999
G41,Epilepsy,9999999
H90.0,Hearing loss,9999999
H90.1,Hearing loss,9999999
H90.2,Hearing loss,9999999
H90.3,Hearing loss,9999999
H90.4,Hearing loss,9999999
H90.5,Hearing loss,9999999
H90.6,Hearing loss,9999999
H90.7,Hearing loss,9999999
H90.8,Hearing loss,9999999
H90.9,Hearing loss,9999999
H90,Hearing loss,9999999
H91.0,Hearing loss,9999999
H91.1,Hearing loss,9999999
H91.2,Hearing loss,9999999
H91.3,Hearing loss,9999999
H91.4,Hearing loss,9999999
H91.5,Hearing loss,9999999
H91.6,Hearing loss,9999999
H91.7,Hearing loss,9999999
